city,company,conditions,description,employment_mode,experience,max_salary,min_salary,name,publish_date,requirements,responsibilities,schedule,skills,url
Тюмень,ПАО   «МТС» ,,,Полная занятость,1–3 года,,40000,Инженер-монтажник,15 октября 2020,,,полный день,,https://hh.ru/vacancy/38590045
Тюмень,ГАУЗ ТО Городская поликлиника №5,,Что мы ожидаем от будущего кандидата?  Обязателен опыт администрирования серверов Linux/Windows (хорошие знания основных сетевых сервисов (TCP/IP  DNS  DHCP  VLAN  LACP)). Аналитический склад ума  инициативность  хорошие коммуникативные навыки; Умение работать в стрессовых ситуациях и условиях многозадачности;  Обязанности:   Администрирование ЛВС  доменной инфраструктуры Linux /Windows Server обеспечение сетевой безопасности и резервирования данных; Администрирование  конфигурирование и поддержка активного сетевого оборудования (Allied Telesys  D-Link  Cisco); Администрирование IP-АТС (Panasonic)  систем видео-наблюдения;   Соблюдение требований федерального законодательства об обработке персональных данных (152-ФЗ); Оказание консультативной и практической помощи сотрудникам по возникшим проблемам  связанным с работой компьютеров  офисной техники и работы в информационных системах; Предварительная настройка и установка ПК и оргтехники; Диагностика неисправностей и мелкий ремонт оргтехники; Выполнение поручений руководства.  Условия:  Официальное трудоустройство.Дружный коллектив.Созданы условия для доверительных взаимоотношений в организации.Каждый сотрудник может полностью использовать свои навыки.Каждый работник имеет возможность играть активную роль в принятии важных производственных решений.Созданы безопасные и здоровые условия труда.Резюме направлять на эл.почту. В теме указать название вакансии ,Полная занятость,1–3 года,,34000,Системный администратор,5 октября 2020,,Администрирование ЛВС; доменной инфраструктуры Linux /Windows Server обеспечение сетевой безопасности и резервирования данных; Администрирование; конфигурирование и поддержка активного сетевого оборудования (Allied Telesys; D-Link; Cisco); Администрирование IP-АТС (Panasonic); систем видео-наблюдения;,полный день,,https://hh.ru/vacancy/39624624
Тюмень,ООО   Реал,Достойная и стабильная заработная плата. Официальное трудоустройство в соответствии с ТК РФ. Стандартный социальный пакет; предусмотренный ТК РФ. Условия труда на рабочем месте: нормальные 40-часовая рабочая неделя. Современный офис и оборудованное рабочее место.,"Общество с ограниченной ответственностью ""РЕАЛ"" – компания с устойчивым курсом развития  осуществляющая свою деятельность более 15 лет по различным направлениям  объявляет конкурс на должность Системного администратора со знаниями программирования.  Общество осуществляет деятельность по оказанию населению услуг оплаты различных платежей (кредитов  мобильной связи  интернета  услуг ЖКХ  штрафов) посредством использования многофункциональных автоматических устройств с возможностью приема платежей  продажи товаров  выдачи посылок и других дополнительных услуг. Сопряженно предприятие реализует множество разнообразных проектов  связанных с данным направлением (www.droncard.ru  www.dronbox.one). На текущий момент мы осуществляем деятельность от Калининграда до Сахалина  включая Москву и Санкт-Петербург. Обязанности:  Разработка программного обеспечения. Адаптация программного обеспечения под потребности организации. Работа с платежными системами в пределах должностной инструкции. Работа с сетью (TCP IP).  Требования:  Высшее техническое образование. Опыт работы в должности системного администратора / программиста / разработчика ПО или сервисного инженера от одного года. Знание основ PHP  MySQL  JS. Опыт работы с электронными цифровыми подписями (ЭЦП). Умение работать с сертификатами. Высокая работоспособность  внимательность  аккуратность  умение работать в режиме многозадачности;  Условия работы:  Достойная и стабильная заработная плата. Официальное трудоустройство в соответствии с ТК РФ. Стандартный социальный пакет  предусмотренный ТК РФ. Условия труда на рабочем месте: нормальные 40-часовая рабочая неделя. Современный офис и оборудованное рабочее место. ",Полная занятость,1–3 года,80000,60000,Системный администратор со знаниями программирования,19 октября 2020,Высшее техническое образование. Опыт работы в должности системного администратора / программиста / разработчика ПО или сервисного инженера от одного года. Знание основ PHP; MySQL; JS. Опыт работы с электронными цифровыми подписями (ЭЦП). Умение работать с сертификатами. Высокая работоспособность; внимательность; аккуратность; умение работать в режиме многозадачности;,Разработка программного обеспечения. Адаптация программного обеспечения под потребности организации. Работа с платежными системами в пределах должностной инструкции. Работа с сетью (TCP IP).,полный день,MySQL;JavaScript;PHP;PHP5;C++,https://hh.ru/vacancy/39886763
Тюмень,Этажи федеральная компания,,,Полная занятость,3–6 лет,,80000,Бизнес-аналитик,5 октября 2020,,,полный день,Прогнозирование;Статистический анализ;MS Excel;Аналитические исследования;Оптимизация бизнес-процессов;Аналитическое мышление;Управление проектами;MS SQL;Google Docs;Работа с базами данных;Бизнес-анализ,https://hh.ru/vacancy/38463140
Тюмень,ХОСТ Группа компаний,,ГК ХОСТ – федеральный системный интегратор и разработчик информационных систем. Входит в ТОП-100 крупнейших ИТ-компаний России по данным Cnews Analytics. Коротко о нас:   27 лет опыта и репутация надежного партнера в бизнесе;   6 городов присутствия - Екатеринбург  Санкт-Петербург  Курган  Тюмень  Пермь  Новый Уренгой;   штат компании 200+ человек;   широкая география масштабных проектов в 18 субъектах РФ;   наши клиенты - 2000 организаций с годовым оборотом от 5 до 700 миллионов долларов;   входим в ТОП-10 Лучших Работодателей Урала по версии HR-mnenie.   Суть проекта. Мы разрабатываем собственную IT-платформу – ИС «МедВедь»  которая автоматизирует процессы в области здравоохранения регионов и помогает населению получать электронные услуги. Платформа «МедВедь» включает в себя продукты: интеграционная шина  региональная информационно-аналитическая система  телемедицина  система сбора отчетности и др. Задачи  которые предстоит решать:  сбор и анализ требований заказчика; формализация требований в задачи; расчет длительности и стоимости работ  оценка потребности в ресурсах; организация  планирование и контроль работ команды проекта; участие в сдаче результатов проекта заказчику (совместно с аналитиком); ведение отчетности по проектам.  От вас потребуется:  желателен опыт от 1 года в управлении проектами; профильное образование\магистратура по управлению проектами (или техническое); опыт управления командой; знание методологий и стандартов управления проектами; знание и\или опыт ведения проектной документации.  Мы предлагаем:  формат работы на выбор: офис или удаленная работа; оформление по ТК РФ и белую заработную плату; перспективу роста до менеджера проектов; полноценную проектную команду и отлаженные процессы (менеджер проектов  системный аналитик  разработчики  тестировщик  технический писатель); возможность обучения и прохождения сертификации - каждый второй менеджер проектов у нас имеет сертификат PMP; заботу компании о сотрудниках: ДМС (поликлиника + стоматология)  дополнительные 7 дней социального отпуска в год; софинансирование спорта и иностранных языков; достойный доход (уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций); яркие корпоративы  тимбилдинги. Любим ходить в походы. За 2018-2019 годы покорили Конжак  Юрму  Зюраткуль  Иремель. ,Полная занятость,1–3 года,,45000,Ассистент менеджера IT-проектов,12 октября 2020,,,полный день,Управление проектами;Планирование;MS Project;Работа в команде;Управление командой;Project management;Управление рисками;Управление разработкой,https://hh.ru/vacancy/39763987
Тюмень,Сеть ресейлов Капуста (ИП Варачев Антон Евгеньевич),,"""КомисcионычЪ"" взял курс на ребрендинг! Всем известный ""КомиссионычЪ"" теперь в новом названии «Smart Kapu$ta»! Сеть ресейлов «Smart Kapu$ta» - это стабильная и активно развивающаяся компания с обширной географией. Мы присутствуем во многих городах УрФО с головной компанией в Тюмени. Наша компания - лидер рынка - существует уже 13 лет. Сегодня мы вышли на новый виток развития  расширяемся и ищем активных людей  со свежими идеями и желанием профессионально развиваться вместе с компанией! Если Вы амбициозны  неравнодушны к тому  что делаете и готовы к развитию вместе с командой  добро пожаловать к нам! Цель работы в системный администратор - обеспечение эффективного и бесперебойного функционирования компьютерного оборудования компании; удовлетворение собственных амбиций профессионального роста и достойного заработка. Основные задачи должности системный администратор:   Поддержка и настройка компьютерного оборудования компании (стационарные и портативные устройства);   Установка  настройка и поддержка сетевого оборудования;   Контроль работоспособности и обслуживание оргтехники;   Установка и поддержание системы контроля доступа и видеонаблюдения;   Обслуживание и модернизация сервера. Резервного копирования баз данных на сервере;   Обслуживание ККТ;   Внесение изменений в интернет-сайты  ведение CRM;   Обеспечение всем необходимым для бесперебойной работы .   Наши ожидания от соискателей:  Высшее образование; Активная жизненная позиция; Опыт аналогичной работы от 1 года; Развитые коммуникативные навыки приветствуются; Желание и способность работать в условиях многозадачности.  Наше предложение соискателю:  Официальное трудоустройство по ТК РФ и предоставление всех соц.гарантий  предусмотренных законодательством; Постоянное  оборудованное всем необходимым  рабочее место в офисе в центре г. Тюмень; Возможность карьерного роста и профессионального развития вместе с компанией; Обучение внутри компании и внешнее обучение; Испытательный срок - 2 месяца.  Наши ожидания от сотрудников:  Четкое выполнение функциональных обязанностей и задач ; Неравнодушие ко всему  что происходит в компании; Умение работать в команде; Амбиция карьерного и профессионального роста; Способность и желание выходить за рамки предложенного  если того требует бизнес-ситуация. ",Полная занятость,1–3 года,50000,40000,Системный администратор,22 сентября 2020,,,полный день,системное администрирование,https://hh.ru/vacancy/39367822
Тюмень,ПАО   Гипротюменнефтегаз,, участвует в создании и ведении базы данных оборудования и материалов; контролирует сроки получения задания по выполняемым работам от смежных отделов и в случае их отклонения от графика принимает меры для ликвидации отклонений; создает  обновляет и корректирует данные по текущему оборудованию  применяемому в проектировании;    осуществляет поиск и сбор информации о выпускаемом оборудовании.   Умение работать в системах трехмерного моделирования (Bentley MicroStation  PlantSpace Design Series  Bentley OpenPlant); Работа с базами данных MS SQL (написание скриптов  запросов).   Требования: - высшее образование: инженер-программист  инженер-проектировщик - Уверенный пользователь ПК. Знание САПР AutoCad или MicroStation.  Условия: - белая заработная плата без задержек - полис ДМС    ,Полная занятость,1–3 года,50000,40000,Ведущий инженер группы баз данных оборудования и материалов,19 октября 2020,,,полный день,AutoCAD;САПР;MicroStation,https://hh.ru/vacancy/39885736
Тюмень,ООО   Альтекс,,Обязанности:  Отслеживать публикацию профильных тендеров на площадках и других специализированных сайтах Готовить правильные заявки на участие в закупках по 44 и 223ФЗ Обеспечивать заключение договоров по выйгранным процедурам Контролировать исполнение и завершение заключенных договоров Обеспечивать возможность участия в тендерах - ЭЦП  регистрация на площадках  в ЕИСе и т.п. Учавствовать в подготовке закупочных документаций и техзаданий.  Требования:  Успешный опыт работы в сфере тендерных закупок/поставок по 44 и 223 ФЗ. Наличие компетенций в договорном праве Коммуникабельность  стрессоустойчивость  способность работать в многозадачном режиме  Условия:  Трудоустройство согласно ТК РФ с первого рабочего дня Удобное месторасположение в центре города Работа в команде профессионалов  возможность обучения Индивидуальное рабочее место Заработная плата: оклад +% от продаж (договорная) ,Полная занятость,1–3 года,,40000,Специалист по тендерам,9 октября 2020,,,полный день,Государственные закупки;Тендеры;Участие в Тендерах;Заключение договоров;Проведение тендеров,https://hh.ru/vacancy/39727436
Тюмень,ООО   Транспромжилстрой-2005,,Уважаемые соискатели просим Вас высылать резюме с фото. Без фото резюме не рассматриваются. Обязанности:  Администрирование рабочих станций WinXP  Win7 Win10; Администрирование Windows Server 2003  2008  2012R2; Администрирование офисной АТС Техническая поддержка офисной компьютерной техники и компьютерного оборудования; Подбор и закупка оборудования и программного обеспечения; Техническая и удаленная поддержка пользователей; Взаимодействие с операторами связи; Резервное копирование 1С; Обслуживание системы видеонаблюдения и телефонной связи; Создавать небольшие сайты; Опыт работы в ИТ технологиях.  Требования:  Опыт работы в аналогичной должности от 3-х лет.  Знание линейки Microsoft Windows Server 2008/2012/2016/2018;   Знание технологий виртуализации - Hyper-V  VMWare; Знание принципов построения и защиты сетей; Опыт маршрутизации сетевого трафика; Опыт построения локальных сетей своими руками (кросс  монтаж розеток  патч-панелей); Опыт диагностики неисправностей; Умение решать возникающие проблемы удалённо.   Условия:  Пятидневная рабочая неделя (пн-пт 09-00 - 18-00); Офис в центре города; Оформление согласно ТК РФ; Стабильная заработная плата; Обед за счет компании; Заработная плата обсуждается на собеседовании. ,Полная занятость,3–6 лет,,,Системный администратор,14 октября 2020,,Администрирование рабочих станций WinXP; Win7;Win10; Администрирование Windows Server 2003; 2008; 2012R2; Администрирование офисной АТС Техническая поддержка офисной компьютерной техники и компьютерного оборудования; Подбор и закупка оборудования и программного обеспечения; Техническая и удаленная поддержка пользователей; Взаимодействие с операторами связи; Резервное копирование 1С; Обслуживание системы видеонаблюдения и телефонной связи; Создавать небольшие сайты; Опыт работы в ИТ технологиях.,полный день,,https://hh.ru/vacancy/39808024
Тюмень,ХОСТ Группа компаний,,"ГК ХОСТ – федеральный системный интегратор и разработчик информационных систем для государственных и коммерческих компаний. Коротко о нас:  входим в ТОП-10 Лучших Работодателей Урала по версии HR-mnenie; в ТОП-100 крупнейших ИТ-компаний России по данным Cnews Analytics; 27 лет на рынке; 6 городов присутствия - Екатеринбург  Санкт-Петербург  Курган  Тюмень  Пермь  Новый Уренгой; штат компании 200+ человек; работаем с разными сферами: медицина  финансы  образование  промышленность и др.  Мы разрабатываем IT-платформу – ИС «МедВедь»  которая автоматизирует процессы в области здравоохранения регионов и помогает населению получать электронные услуги. Платформа включает в себя продукты: интеграционная шина  региональная информационно-аналитическая система  телемедицина  система сбора отчетности и многое другое. Заказчики компании находятся в 18 субъектах России. Роль системного администратора будет заключаться в поддержании  администрировании  конфигурировании  тестировании сервисов ИС ""МедВедь"". Задачи  которые предстоит решать:  обслуживание и администрирование серверной инфраструктуры ОС Windows/Linux; выполнение непрерывного мониторинга обслуживаемых систем и сервисов; установка и конфигурирование Apache Tomcat  Nginx  конфигурирование Jenkins\Git  настройка Zabbix; реализация мер по ИТ-безопасности в соответствии со стандартами компании; выполнение регламентных работ в части обслуживания аппаратного/программного обеспечения серверов.  От вас потребуется:  готовы также рассмотреть выпускников ИТ-специальностей вузов без опыта работы; базовые знания в области администрирования и настройки ОС Windows/Linux; знание сетевых протоколов TCP/IP; знание любых СУБД (базовые задачи администрирования).  Мы предлагаем:  оформление по ТК РФ и белую заработную плату (выплачивается 2 раза в месяц); режим работы: пятидневная рабочая неделя (8.00 до 17.00  с 9.00 до 18.00 или с 10.00 до 19.00); индивидуальную программу адаптации и помощь наставника; эффективно организованные рабочие процессы и коммуникации с командой - все вопросы решаются быстро; постоянное обучение  возможность применять современные технологии в работе; достойный доход (уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций); заботу компании о сотрудниках: ДМС (поликлиника + стоматология)  дополнительные 7 дней социального отпуска в год  софинансирование спорта и иностранных языков; яркие корпоративы  тимбилдинги. Любим ходить в походы. За 2018-2019 годы покорили Конжак  Юрму  Зюраткуль  Иремель. ",Полная занятость,не требуется,,30000,Администратор ИС (Junior),21 сентября 2020,,,полный день,Zabbix;Администрирование серверов Linux;Linux;Информационная безопасность;Информационные технологии,https://hh.ru/vacancy/39346549
